City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Narsaq,GL,2021-02-03 06:26:51,60.9167,-46.05,15.8,48,40,9.22
95,Khatanga,RU,2021-02-03 06:26:20,71.9667,102.5,-11.81,90,100,1.77
96,Kitimat,CA,2021-02-03 06:28:40,54.0524,-128.6534,21.0,92,49,3.36
97,Guerrero Negro,MX,2021-02-03 06:26:29,27.9769,-114.0611,64.0,61,99,8.05
98,Hermanus,ZA,2021-02-03 06:26:15,-34.4187,19.2345,70.0,80,0,1.99
99,Lata,PT,2021-02-03 06:26:29,40.1629,-8.3327,57.99,95,98,5.01
100,Saint-Augustin,CA,2021-02-03 06:27:49,51.226,-58.6502,24.82,97,100,18.75
101,Evensk,RU,2021-02-03 06:28:41,61.95,159.2333,17.69,92,100,33.64
102,Tasiilaq,GL,2021-02-03 06:26:25,65.6145,-37.6368,21.2,93,90,5.75
103,Cayenne,GF,2021-02-03 06:27:14,4.9333,-52.3333,78.8,94,40,5.75
104,Miri,MY,2021-02-03 06:27:42,4.4148,114.0089,80.6,94,40,5.75
105,Maumere,ID,2021-02-03 06:28:41,-8.6199,122.2111,81.18,82,92,13.71
106,Srandakan,ID,2021-02-03 06:28:41,-7.9386,110.2506,83.3,70,84,5.75
107,Chuy,UY,2021-02-03 06:26:40,-33.6971,-53.4616,71.35,94,92,8.41
108,Luderitz,NA,2021-02-03 06:23:02,-26.6481,15.1594,64.42,82,0,7.72
109,North Bend,US,2021-02-03 06:28:41,43.4065,-124.2243,46.4,87,90,14.97
110,Hobart,AU,2021-02-03 06:26:13,-42.8794,147.3294,64.99,45,75,10.36
111,Areni,AM,2021-02-03 06:28:41,39.7191,45.1799,33.8,80,40,4.61
112,Touros,BR,2021-02-03 06:26:44,-5.1989,-35.4608,75.2,83,20,3.44
113,Pevek,RU,2021-02-03 06:26:18,69.7008,170.3133,6.67,90,100,9.13
114,Wad Rawah,SD,2021-02-03 06:28:42,15.1603,33.1397,80.53,31,0,15.05
115,Tiksi,RU,2021-02-03 06:26:38,71.6872,128.8694,-6.75,92,100,16.11
116,Chapais,CA,2021-02-03 06:26:31,49.7834,-74.8492,12.2,79,75,11.5
117,Sola,VU,2021-02-03 06:28:24,-13.8833,167.55,86.0,79,75,5.75
118,Sultanpur,IN,2021-02-03 06:28:42,26.2667,82.0667,73.65,35,25,3.11
119,Kavieng,PG,2021-02-03 06:26:23,-2.5744,150.7967,84.67,69,39,9.44
120,Shahreza,IR,2021-02-03 06:28:42,32.0339,51.8794,47.89,41,0,0.94
121,Hami,CN,2021-02-03 06:28:28,42.8,93.45,36.68,61,61,2.28
122,Dicabisagan,PH,2021-02-03 06:26:51,17.0818,122.4157,73.42,85,99,8.75
123,Yudong,CN,2021-02-03 06:28:42,29.385,106.5194,53.6,62,40,8.95
124,Bambous Virieux,MU,2021-02-03 06:27:42,-20.3428,57.7575,86.0,70,75,11.5
125,Verkhniy Baskunchak,RU,2021-02-03 06:28:43,48.2256,46.7217,38.57,87,46,7.49
126,Kulhudhuffushi,MV,2021-02-03 06:27:07,6.6221,73.07,81.59,69,100,6.15
127,Longyearbyen,SJ,2021-02-03 06:26:16,78.2186,15.6401,23.0,74,75,14.97
