City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
520,Beloha,MG,75.06,overcast clouds,-25.1667,45.05,
524,Bintulu,MY,75.2,few clouds,3.1667,113.0333,
530,General Cepeda,MX,77.0,clear sky,25.3833,-101.45,
532,Soyo,AO,79.83,broken clouds,-6.1349,12.3689,
533,Tecolutla,MX,78.8,clear sky,20.4833,-97.0167,
534,Sao Joao Da Barra,BR,78.19,overcast clouds,-21.6403,-41.0511,
535,Ballina,AU,78.8,broken clouds,-28.8667,153.5667,
541,Kahului,US,75.2,scattered clouds,20.8947,-156.47,
545,Emerald,AU,86.0,scattered clouds,-23.5333,148.1667,
546,Sri Aman,MY,75.2,light rain,1.2376,111.4621,
551,Port-Gentil,GA,78.8,few clouds,-0.7193,8.7815,
554,Oriximina,BR,83.25,scattered clouds,-1.7656,-55.8661,
556,Goundam,ML,75.31,overcast clouds,16.4145,-3.6708,
557,Corredor,CR,84.2,scattered clouds,8.64,-82.946,
558,Acajutla,SV,84.2,clear sky,13.5928,-89.8275,
560,Santa Rosa,PH,82.0,broken clouds,14.3122,121.1114,
569,Byron Bay,AU,78.8,broken clouds,-28.65,153.6167,
570,Kavaratti,IN,80.51,clear sky,10.5669,72.642,
577,Tsogni,GA,77.77,broken clouds,-2.7942,10.0988,
581,Chokwe,MZ,75.97,overcast clouds,-24.5333,32.9833,
584,Kismayo,SO,75.78,clear sky,-0.3582,42.5454,
587,Tandil,AR,75.99,clear sky,-37.3217,-59.1332,
590,Gigmoto,PH,80.08,overcast clouds,13.7796,124.39,
594,Buala,SB,86.18,scattered clouds,-8.145,159.5921,
597,Pitimbu,BR,78.8,few clouds,-7.4706,-34.8086,
603,Pespire,HN,89.6,scattered clouds,13.5922,-87.3617,
605,Araras,BR,75.99,broken clouds,-22.3569,-47.3842,
609,Alice Springs,AU,80.01,overcast clouds,-23.7,133.8833,
614,Mazagao,BR,82.4,clear sky,-0.115,-51.2894,
620,Saint-Georges,GD,78.8,few clouds,12.0564,-61.7485,
624,Taguatinga,BR,75.25,overcast clouds,-12.3857,-46.5711,
626,Sampit,ID,76.6,overcast clouds,-2.5333,112.95,
627,Caravelas,BR,80.2,overcast clouds,-17.7125,-39.2481,
631,Daru,PG,84.69,overcast clouds,-9.0763,143.2092,
633,Waingapu,ID,80.98,overcast clouds,-9.6567,120.2641,
636,Sabang,ID,81.18,clear sky,5.8933,95.3214,
641,Roebourne,AU,81.46,scattered clouds,-20.7833,117.1333,
646,Sechura,PE,78.8,scattered clouds,-5.5569,-80.8222,
649,Grand Gaube,MU,75.99,moderate rain,-20.0064,57.6608,
