City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Angahuan,MX,19.55,-102.1833,57.2,72,1,2.59,clear sky
152,Tiznit,MA,29.5833,-9.5,55.42,61,21,13.11,few clouds
153,Caravelas,BR,-17.7125,-39.2481,83.55,78,93,7.96,light rain
154,Chhoti Sadri,IN,24.3833,74.7,60.24,32,0,6.38,clear sky
155,Hasaki,JP,35.7333,140.8333,41.0,65,20,5.75,few clouds
156,Summerside,CA,46.3959,-63.7876,25.0,54,82,10.36,broken clouds
157,Ilulissat,GL,69.2167,-51.1,23.0,46,0,35.68,mist
158,Pahrump,US,36.2083,-115.9839,33.8,60,1,1.48,clear sky
159,Rio Grande,BR,-32.035,-52.0986,80.6,54,40,6.91,scattered clouds
160,Tasiilaq,GL,65.6145,-37.6368,21.2,63,1,3.44,clear sky
161,Mount Gambier,AU,-37.8333,140.7667,55.4,71,90,10.36,overcast clouds
162,Kaitangata,NZ,-46.2817,169.8464,59.0,94,49,1.01,scattered clouds
163,Teya,RU,60.3778,92.6267,30.61,95,94,12.06,overcast clouds
164,Inhambane,MZ,-23.865,35.3833,89.01,66,40,4.61,scattered clouds
165,Asfi,MA,32.2994,-9.2372,59.68,64,13,6.02,few clouds
166,Marzuq,YE,14.4,46.4667,65.59,56,0,4.14,clear sky
167,Kahului,US,20.8947,-156.47,63.0,77,40,3.44,scattered clouds
168,Luorong,CN,24.4058,109.6086,71.49,49,18,3.87,few clouds
169,Sompeta,IN,18.9333,84.6,70.07,77,69,2.82,broken clouds
170,Kavieng,PG,-2.5744,150.7967,82.63,78,34,10.02,scattered clouds
171,Upernavik,GL,72.7868,-56.1549,18.5,80,22,2.77,few clouds
172,Hithadhoo,MV,-0.6,73.0833,82.02,73,52,11.77,broken clouds
173,Sechura,PE,-5.5569,-80.8222,81.79,54,9,7.65,clear sky
174,Saint-Philippe,RE,-21.3585,55.7679,82.4,74,75,6.91,broken clouds
175,Coquimbo,CL,-29.9533,-71.3436,66.2,68,75,6.91,broken clouds
176,Novonukutskiy,RU,53.7002,102.7117,9.86,92,73,3.71,broken clouds
177,Alice Springs,AU,-23.7,133.8833,79.0,31,39,6.91,scattered clouds
178,Yulara,AU,-25.2406,130.9889,82.4,26,0,9.22,clear sky
179,Broome,US,42.2506,-75.833,30.0,86,90,9.22,light snow
180,Suoyarvi,RU,62.0833,32.35,14.16,96,100,5.86,snow
181,Templin,DE,53.1186,13.5022,23.0,57,99,19.77,light snow
182,Kazachinskoye,RU,57.6953,93.2761,30.13,96,48,7.45,scattered clouds
